SequentialID,Name,Barcode,Well,Volume,RawDataSet1
1,,,A1,50,0.0425
1,,,A2,50,0.0555
1,,,A3,50,0.0542
1,,,A4,50,0.0499
1,,,A5,50,0.0502
1,,,A6,50,0.0492
1,,,A7,50,0.0476
1,,,A8,50,0.0465
1,,,A9,50,0.0456
1,,,A10,50,0.0455
1,,,A11,50,0.045
1,,,A12,50,0.0516
1,,,A13,50,0.0596
1,,,A14,50,0.0842
1,,,A15,50,0.1038
1,,,A16,50,0.1414
1,,,A17,50,0.1689
1,,,A18,50,0.1711
1,,,A19,50,0.1809
1,,,A20,50,0.1794
1,,,A21,50,0.1764
1,,,A22,50,0.1723
1,,,A23,50,0.1788
1,,,A24,50,0.2034
1,,,B1,50,0.0438
1,,,B2,50,0.0462
1,,,B3,50,0.0454
1,,,B4,50,0.044
1,,,B5,50,0.0422
1,,,B6,50,0.0402
1,,,B7,50,0.0413
1,,,B8,50,0.0407
1,,,B9,50,0.0402
1,,,B10,50,0.0422
1,,,B11,50,0.0408
1,,,B12,50,0.0424
1,,,B13,50,0.0477
1,,,B14,50,0.0707
1,,,B15,50,0.0869
1,,,B16,50,0.1191
1,,,B17,50,0.1441
1,,,B18,50,0.1569
1,,,B19,50,0.1611
1,,,B20,50,0.1667
1,,,B21,50,0.164
1,,,B22,50,0.1694
1,,,B23,50,0.1692
1,,,B24,50,0.1899
1,,,C1,50,0.0428
1,,,C2,50,0.0451
1,,,C3,50,0.0442
1,,,C4,50,0.044
1,,,C5,50,0.041
1,,,C6,50,0.041
1,,,C7,50,0.0397
1,,,C8,50,0.0402
1,,,C9,50,0.0405
1,,,C10,50,0.04
1,,,C11,50,0.0408
1,,,C12,50,0.0429
1,,,C13,50,0.0424
1,,,C14,50,0.0464
1,,,C15,50,0.074
1,,,C16,50,0.1867
1,,,C17,50,0.1792
1,,,C18,50,0.1767
1,,,C19,50,0.1846
1,,,C20,50,0.1826
1,,,C21,50,0.1798
1,,,C22,50,0.1804
1,,,C23,50,0.1909
1,,,C24,50,0.2002
1,,,D1,50,0.0413
1,,,D2,50,0.0408
1,,,D3,50,0.0415
1,,,D4,50,0.0424
1,,,D5,50,0.04
1,,,D6,50,0.038
1,,,D7,50,0.0376
1,,,D8,50,0.0392
1,,,D9,50,0.0393
1,,,D10,50,0.0381
1,,,D11,50,0.0384
1,,,D12,50,0.0381
1,,,D13,50,0.0399
1,,,D14,50,0.0418
1,,,D15,50,0.0762
1,,,D16,50,0.1639
1,,,D17,50,0.1609
1,,,D18,50,0.1639
1,,,D19,50,0.1707
1,,,D20,50,0.1754
1,,,D21,50,0.1721
1,,,D22,50,0.1788
1,,,D23,50,0.1809
1,,,D24,50,0.1937
1,,,E1,50,0.0399
1,,,E2,50,0.0451
1,,,E3,50,0.0454
1,,,E4,50,0.0443
1,,,E5,50,0.0436
1,,,E6,50,0.0427
1,,,E7,50,0.0418
1,,,E8,50,0.0413
1,,,E9,50,0.0419
1,,,E10,50,0.0397
1,,,E11,50,0.04
1,,,E12,50,0.041
1,,,E13,50,0.0433
1,,,E14,50,0.0432
1,,,E15,50,0.0449
1,,,E16,50,0.0791
1,,,E17,50,0.1344
1,,,E18,50,0.1585
1,,,E19,50,0.2214
1,,,E20,50,0.207
1,,,E21,50,0.1855
1,,,E22,50,0.1935
1,,,E23,50,0.1948
1,,,E24,50,0.181
1,,,F1,50,0.041
1,,,F2,50,0.0421
1,,,F3,50,0.043
1,,,F4,50,0.0432
1,,,F5,50,0.0418
1,,,F6,50,0.0404
1,,,F7,50,0.04
1,,,F8,50,0.0392
1,,,F9,50,0.0397
1,,,F10,50,0.04
1,,,F11,50,0.0393
1,,,F12,50,0.0398
1,,,F13,50,0.0414
1,,,F14,50,0.0432
1,,,F15,50,0.0427
1,,,F16,50,0.0891
1,,,F17,50,0.1284
1,,,F18,50,0.1607
1,,,F19,50,0.2119
1,,,F20,50,0.1937
1,,,F21,50,0.1866
1,,,F22,50,0.1876
1,,,F23,50,0.1884
1,,,F24,50,0.1779
1,,,G1,50,0.0396
1,,,G2,50,0.0446
1,,,G3,50,0.0447
1,,,G4,50,0.0442
1,,,G5,50,0.0414
1,,,G6,50,0.0392
